tick,nr_active,kernel,bitshift,lut,poly,errBS,errLUT,errPoly,errPctBS,errPctLUT,errPctPoly
100,0.811035,0.512695,0.503906,0.502930,0.505371,0.008789,0.009766,0.007324,1.7143,1.9048,1.4286
101,0.847656,0.539551,0.525391,0.531250,0.532715,0.014160,0.008301,0.006836,2.6244,1.5385,1.2670
102,0.854980,0.564941,0.545898,0.556641,0.558105,0.019043,0.008301,0.006836,3.3708,1.4693,1.2100
103,0.684570,0.574707,0.554688,0.568359,0.567871,0.020020,0.006348,0.006836,3.4834,1.1045,1.1895
104,0.797363,0.592773,0.569824,0.587891,0.585449,0.022949,0.004883,0.007324,3.8715,0.8237,1.2356
105,0.857422,0.614258,0.587891,0.610840,0.606445,0.026367,0.003418,0.007812,4.2925,0.5564,1.2719
106,0.864746,0.634766,0.604980,0.629395,0.626465,0.029785,0.005371,0.008301,4.6923,0.8462,1.3077
107,0.741211,0.643555,0.613281,0.637207,0.635254,0.030273,0.006348,0.008301,4.7041,0.9863,1.2898
108,0.705566,0.648926,0.619141,0.641602,0.640137,0.029785,0.007324,0.008789,4.5899,1.1287,1.3544
109,0.687500,0.652344,0.623535,0.643555,0.643555,0.028809,0.008789,0.008789,4.4162,1.3473,1.3473
110,0.819824,0.666016,0.635742,0.658203,0.657227,0.030273,0.007812,0.008789,4.5455,1.1730,1.3196
111,0.836914,0.680176,0.648438,0.673828,0.671387,0.031738,0.006348,0.008789,4.6662,0.9332,1.2922
112,0.816895,0.691406,0.658691,0.686523,0.682129,0.032715,0.004883,0.009277,4.7316,0.7062,1.3418
113,0.869141,0.706055,0.671875,0.701660,0.696777,0.034180,0.004395,0.009277,4.8409,0.6224,1.3140
114,0.774902,0.711914,0.678223,0.708496,0.702637,0.033691,0.003418,0.009277,4.7325,0.4801,1.3032
115,0.729492,0.713379,0.681641,0.708496,0.704102,0.031738,0.004883,0.009277,4.4490,0.6845,1.3005
116,0.732910,0.715332,0.684570,0.708984,0.706055,0.030762,0.006348,0.009277,4.3003,0.8874,1.2969
117,0.722656,0.716309,0.687012,0.711426,0.707031,0.029297,0.004883,0.009277,4.0900,0.6817,1.2952
118,0.815918,0.724609,0.695312,0.718750,0.715332,0.029297,0.005859,0.009277,4.0431,0.8086,1.2803
119,0.708008,0.723145,0.695801,0.717773,0.714355,0.027344,0.005371,0.008789,3.7812,0.7427,1.2154
120,0.797363,0.729492,0.702148,0.724609,0.720215,0.027344,0.004883,0.009277,3.7483,0.6693,1.2718
121,0.865234,0.740723,0.712402,0.736816,0.730957,0.028320,0.003906,0.009766,3.8233,0.5274,1.3184
122,0.810059,0.746582,0.718262,0.743164,0.736816,0.028320,0.003418,0.009766,3.7933,0.4578,1.3080
123,0.694336,0.742188,0.716797,0.737793,0.732910,0.025391,0.004395,0.009277,3.4211,0.5921,1.2500
124,0.846191,0.750977,0.725098,0.746094,0.741211,0.025879,0.004883,0.009766,3.4460,0.6502,1.3004
125,0.859375,0.759766,0.733887,0.754395,0.750000,0.025879,0.005371,0.009766,3.4062,0.7069,1.2853
126,0.819824,0.764648,0.739258,0.758789,0.755371,0.025391,0.005859,0.009277,3.3206,0.7663,1.2133
127,0.852539,0.771973,0.746582,0.764648,0.762695,0.025391,0.007324,0.009277,3.2891,0.9488,1.2018
128,0.738770,0.769043,0.746094,0.763184,0.760254,0.022949,0.005859,0.008789,2.9841,0.7619,1.1429
129,0.759766,0.768066,0.747070,0.761230,0.759766,0.020996,0.006836,0.008301,2.7336,0.8900,1.0807
130,0.837402,0.773926,0.752930,0.767578,0.765625,0.020996,0.006348,0.008301,2.7129,0.8202,1.0726
